ID,Temp_Max_Avg_VEG,Temp_Min_Avg_VEG,Temp_Avg_VEG,Diurnal_Range_Avg_VEG,Sol_Ener_Accu_VEG,Temp_Max_34_Freq_VEG,Rain_Accu_VEG,Rain_10_Freq_VEG,Temp_Min_15_Freq_VEG,Temp_Max_Avg_REP,Temp_Min_Avg_REP,Temp_Avg_REP,Diurnal_Range_Avg_REP,Sol_Ener_Accu_REP,Temp_Max_34_Freq_REP,Rain_Accu_REP,Rain_10_Freq_REP,Temp_Min_15_Freq_REP,Temp_Max_Avg_LLEN,Temp_Min_Avg_LLEN,Temp_Avg_LLEN,Diurnal_Range_Avg_LLEN,Sol_Ener_Accu_LLEN,Temp_Max_34_Freq_LLEN,Rain_Accu_LLEN,Rain_10_Freq_LLEN,Temp_Min_15_Freq_LLEN,VARIEDAD,RENDIMIENTO_HA
62_jaime cardozo_cordoba_Riego  _F473_AMTEC,32.8198259,24.14234118,28.48108354,8.677484713,20459.40935,0.173913043,0,0,0,32.88636364,24.35270603,28.61953483,8.533657606,19095.827,0.318181818,0,0,0,33.16216216,24.6419896,28.90207588,8.520172564,15051.16835,0.162162162,59.9,0.054054054,0,F473,5000
114_E. SAAVEDRA_CORDOBA_Riego  _F473_AMTEC,32.8198259,24.14234118,28.48108354,8.677484713,20459.40935,0.173913043,0,0,0,32.88636364,24.35270603,28.61953483,8.533657606,19095.827,0.318181818,0,0,0,33.16216216,24.6419896,28.90207588,8.520172564,15051.16835,0.162162162,59.9,0.054054054,0,F473,5000
61_jaime cardozo_cordoba_Riego  _F473_AMTEC,32.73286938,24.14381236,28.43834087,8.589057019,20482.55243,0.152173913,0,0,0,32.94090909,24.43285627,28.68688268,8.508052824,18840.63685,0.318181818,0,0,0,33.22162162,24.70156284,28.96159223,8.520058781,15130.02292,0.216216216,59.9,0.054054054,0,F473,7200
63_jaime cardozo_cordoba_Riego  _F2000_AMTEC,33.37391304,24.52730925,28.95061115,8.846603793,21382.69527,0.391304348,0,0,0,32.38636364,24.49283023,28.43959693,7.893533408,16947.8424,0.090909091,59.9,0.045454545,0,32.8296393,24.54600749,28.68782339,8.283631814,13979.29873,0.189189189,214.1,0.189189189,0,F2000,5500
76__cordoba_Secano_F2000_TRADICIONAL,32.61756925,23.91038709,28.26397817,8.707182158,19931.60531,0.152173913,25.1,0.02173913,0,33.46818182,24.55019582,29.00918882,8.917986002,21095.32589,0.409090909,0,0,0,32.27027027,24.54875946,28.40951486,7.721510813,13619.00611,0.108108108,22.4,0.027027027,0,F2000,5600
115_E. SAAVEDRA_CORDOBA_Riego  _F2000_AMTEC,32.63882926,23.92503165,28.28193045,8.713797611,19051.0156,0.152173913,33.5,0.02173913,0,33.02272727,24.4142159,28.71847159,8.608511372,20527.41157,0.318181818,0,0,0,32.58918919,24.4942818,28.54173549,8.094907389,14615.65326,0.189189189,4.3,0,0,F2000,6000
66_jaime cardozo_cordoba_Riego  _F2000_AMTEC,32.93286938,24.16514908,28.54900923,8.767720298,20350.32896,0.195652174,0,0,0,33.03181818,24.35080111,28.69130964,8.681017074,19525.16815,0.363636364,0,0,0,32.91891892,24.68908795,28.80400344,8.229830967,14774.53029,0.108108108,59.9,0.054054054,0,F2000,6100
67_jaime cardozo_cordoba_Riego  _F2000_AMTEC,32.93286938,24.15079859,28.54183398,8.782070783,20436.37755,0.195652174,0,0,0,32.86818182,24.31710135,28.59264158,8.551080469,19330.14422,0.318181818,0,0,0,33.08648649,24.68568787,28.88608718,8.400798615,14860.36325,0.135135135,59.9,0.054054054,0,F2000,6300
71_jaime cardozo_cordoba_Riego  _F2000_AMTEC,32.63882926,23.92503165,28.28193045,8.713797611,19051.0156,0.152173913,33.5,0.02173913,0,33.02272727,24.4142159,28.71847159,8.608511372,20527.41157,0.318181818,0,0,0,32.58918919,24.4942818,28.54173549,8.094907389,14615.65326,0.189189189,4.3,0,0,F2000,6666
72_jaime cardozo_cordoba_Riego  _F2000_AMTEC,32.59565619,23.98298331,28.28931975,8.612672881,18989.54943,0.173913043,101.4,0.065217391,0,32.76363636,24.21098491,28.48731064,8.552651449,19394.39249,0.204545455,0,0,0,32.74054054,24.41331598,28.57692826,8.327224564,15603.32178,0.27027027,0,0,0,F2000,6700
64_jaime cardozo_cordoba_Riego  _F2000_AMTEC,32.82608696,24.16086238,28.49347467,8.665224581,20395.98681,0.217391304,0,0,0,32.87272727,24.50380949,28.68826838,8.368917787,18375.56555,0.272727273,4.3,0,0,33.15135135,24.65290387,28.90212761,8.498447479,15340.66194,0.216216216,64.6,0.054054054,0,F2000,6700
65_jaime cardozo_cordoba_Riego  _F2000_AMTEC,32.94156503,24.17932509,28.56044506,8.762239937,20390.39654,0.195652174,0,0,0,32.95,24.35149166,28.65074583,8.598508344,19417.40188,0.340909091,0,0,0,32.98378378,24.67013439,28.82695909,8.313649392,14773.33805,0.108108108,59.9,0.054054054,0,F2000,7240
60_jaime cardozo_cordoba_Riego  _F2000_AMTEC,32.95134378,24.11080602,28.5310749,8.840537751,20336.22552,0.195652174,3.4,0,0,33.04090909,24.39890835,28.71990872,8.64200074,19761.71532,0.363636364,0,0,0,32.84864865,24.61751328,28.73308097,8.231135367,14559.60838,0.108108108,59.9,0.054054054,0,F2000,7354
ENA_2008a_203339,32.39559306,23.98169829,28.18864567,8.413894768,19426.68557,0.119047619,13,0.023809524,0,31.86530747,24.35527455,28.11029101,7.510032915,18596.68055,0.048780488,0,0,0,31.75294118,25.46470588,28.60882353,6.288235294,14505.93395,0.029411765,48,0.029411765,0,F733,5806.5
ENA_2008a_208932,31.96924666,24.67834656,28.32379661,7.290900102,19740.19154,0.046511628,0,0,0,31.735,25.365,28.55,6.37,14797.38966,0.025,79.1,0.05,0,31.95428571,24.74285714,28.34857143,7.211428571,13605.8499,0,245.8,0.228571429,0,F733,6175
ENA_2009a_5471,32.1985971,24.15270544,28.17565127,8.045891655,19401.0247,0.047619048,16.2,0.023809524,0,31.62625501,24.33757732,27.98191616,7.288677682,18288.37543,0.025,64.8,0.025,0,32.55734783,25.24490554,28.90112669,7.312442291,15166.30888,0.147058824,96.2,0.088235294,0,F733,4000
ENA_2009a_5590,31.78131857,24.59006186,28.18569021,7.191256708,23345.7543,0.06,64.8,0.02,0,32.34427922,25.14384677,28.74406299,7.200432454,19297.69423,0.083333333,194.8,0.125,0,31.46670942,24.6,28.03335471,6.866709421,15758.54171,0.024390244,300.2,0.219512195,0,F733,2687.5
ENA_2009a_5614,32.02727273,24.12758247,28.0774276,7.899690258,19967.60075,0.045454545,81,0.045454545,0,31.94535349,24.54658356,28.24596853,7.398769936,20221.92174,0.069767442,0,0,0,32.22638406,25.15491638,28.69065022,7.07146768,15163.35576,0.083333333,170.3,0.138888889,0,F733,3500
ENA_2009b_5471,32.68691944,25.18124225,28.93408085,7.505677194,17118.06995,0.11627907,79.1,0.069767442,0,32.45,24.245,28.3475,8.205,18472.85337,0.075,0,0,0,31.88132815,25.68151272,28.78142043,6.199815433,13464.63246,0.114285714,16.3,0,0,F733,4550
